title,date_company,content,date,company
순천향대천안병원 어린이날 기념 이벤트,2021.05.06 | 뉴시스 | 다음뉴스,"어린이날 기념 이벤트를 열었다. 소아청소년과 의료진은 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며 어린이날 병실에서 치료를 받아야 하는 어린이...",2021.05.06,뉴시스
"""국민딸 '콩순이', 부모·아이와 함께 보세요"" [인터뷰]",2021.05.06 | 스포츠경향 | 다음뉴스,"그 때문에 모험을 통해서 콩순이가 관계를 배워가는 감정을 담게 됐어요. 애착인형 ‘토토’, 또 다른 인형 ‘해피’ 등과 우당탕탕 모험을 거치면서 콩순이도 성장하고...",2021.05.06,스포츠경향
"'검사 남편♥︎' 한지혜, 임신 중 달달한 태교여행..D라인 뽐내며 ...",2021.02.19 | OSEN | 다음뉴스,떠난 태교여행을 공개했다. 한지혜는 지난 18일 자신의 유튜브 채널을 통해 ‘DIY 애착인형 만들기’ 영상을 공개했다. 해당 영상은 한지혜가 남편과 함께 태교 여행을 떠나...,2021.02.19,OSEN
수원청소년상담복지센터'장애 아동에 애착인형 선물',2021.03.08 | e수원뉴스,"호매실장애인종합복지관에 청소년과 가족이 함께 만든 '애착인형'을 전달했다. 수원시청소년재단 청소년상담복지센터는 지난 4일, 호매실장애인종합복지관에 청소년과 가족...",2021.03.08,e수원뉴스
"'임신 7개월' 나비, 2세 애착 인형 들고 ""내 거 하면 안 되니.. ...",2021.02.25 | OSEN | 다음뉴스,[OSEN=임혜영 기자] 가수 나비가 선물 받은 애착 인형을 자랑했다. 나비는 25일 자신의 인스타그램에 “이모들 고마워요! 조이 애착 인형 귀여워”라는 글과 함께 두 장의...,2021.02.25,OSEN
"'영스' 이진혁 ""난 열정 빼면 시체..1억 줘도 못 바꿔""",2021.05.04 | TV리포트 | 다음뉴스,"열정'을 꼽으며 ""열정은 1억 줘도 못 바꿀 것 같다. 저는 이거 없으면 시체""라며 ""애착인형 바꾸자고 하면 고민은 할 것 같은데 추억이 담겨있어서 쉽지 않을 것 같다. 추억...",2021.05.04,TV리포트
자기 몸보다 큰 애착 인형 물고 뛰어오는 토끼냥..'깡총 한 번에 ...,2021.03.09 | 노트펫,[노트펫]재택근무 중인 집사와 한 공간에서 놀고 싶었던 고양이는 자기 몸보다 큰 애착 인형을 입에 물고 토끼처럼 뛰어왔다. 7개월 차 고양이 '미유'에게 집사 은영 씨의...,2021.03.09,노트펫
"양주시, 한의약 접목한 비대면 건강프로그램 '우리아기 감성 톡톡...",2021.04.30 | 머니S | 다음뉴스,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다. 시는 수업에 필요한...",2021.04.30,머니S
[영상] 인형도 응급수술이 필요하다? 전국 애착인형들이 수술받으...,2021.02.13 | 뉴스1 | 다음뉴스,들리죠. 하지만 수술을 받는 대상이 좀 특이합니다. 바로 인형! 전국의 애착 인형들이 몰려드는 이곳은 '인형병원'인데요. 한 달의 약 50명...아니 50건의 수술이 이루어...,2021.02.13,뉴스1
[영통2동]취약계층 위한 '애착인형 만들기' 나눔 활동 펼쳐,2021.02.26 | e수원뉴스,"강사가 실시간으로 제작방법을 설명하고, 수강생들은 각자의 자택에서 바느질을 해 애착인형을 제작했다. 프로그램에 참여한 수강생은 ""바느질 하는 것이 서툴고 어려웠지만...",2021.02.26,e수원뉴스
"계명대, 애착인형 개발해 미혼모 시설에 기부",2021.01.28 | 뉴시스 | 다음뉴스,"계명대, 애착인형 개발해 미혼모 시설에 기부 [대구=뉴시스] 박준 기자 = 계명대학교 학생들이 개발한 신생아용 애착인형 40개를 미혼모 시설에 기부했다. 28일 계명대에...",2021.01.28,뉴시스
"""15년지기 살리는데 80만원 쯤이야""..2030 인형병원 몰린다",2021.04.10 | 매일경제 | 다음뉴스,"중에 20대가 많은 건 지금의 '키덜트' 문화와 연관이 깊다고 볼 수 있다""며 ""애착인형 등을 다시 복원해서 갖고 있으려고 하는 이유는 어렸을 때 마냥 행복하기만 했던 그...",2021.04.10,매일경제
"현대엘리베이터, 소외계층 어린이 49명에 운동화 기부",2021.05.01 | 뉴시스 | 다음뉴스,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.05.01,뉴시스
"계명대 재학생, 신생아용 애착인형 40개 기증",2021.01.28 | 머니투데이 | 다음뉴스,"계명대학교는 최근 재학생들이 신생아용 애착인형 40개를 미혼모 시설에 기부했다고 28일 밝혔다. 앞서 계명대 이민석, 김지석, 전휘준, 이용우, 구병기 학생은 계명대 LINC...",2021.01.28,머니투데이
[5월 5일 어린이날]병원들 어린이와 함께…선물부터 기부금 쾌척까지,2021.05.05 | 메디컬월드뉴스,"기념 이벤트를 진행했다.소아청소년과 의료진들은 이날 오후 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며, 어린이날 병실에서 치료를 받아야 하는...",2021.05.05,메디컬월드뉴스
"현대엘리베이터, 충주·여주 아동복지시설에 어린이날 선물",2021.04.30 | 머니투데이 | 다음뉴스,"현장 봉사활동이 어려워진 지난해부턴 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해왔다...",2021.04.30,머니투데이
"유진♥기태영 핑크빛 집 공개, 폭풍성장 딸 로희-로린 근황까지(...",2021.05.01 | 뉴스엔 | 다음뉴스,"꽤 길다""고 한탄했다. 한편 어느새 7살이 된 로희는 훌쩍 커 소녀같았지만 여전히 애착 인형 모이를 안고 있었다. 로희는 치실도 네일도 스스로 하는 모습으로 감탄을...",2021.05.01,뉴스엔
"'50kg 감량' 권미진, 생후 2개월 딸 母없이 잘 자는 효녀네",2021.04.28 | OSEN | 다음뉴스,권미진의 딸이 잠들어 있는 모습이 담겨 있다. 권미진의 딸 나은 양은 양팔에 애착 인형을 두고 깊은 잠에 빠진 듯 천사같은 모습으로 잠들어 시선을 사로잡았다. 한편...,2021.04.28,OSEN
"영탁 '이불' V라이브, '애착 인형·잠버릇' 공개",2021.02.11 | 스타뉴스 | 다음뉴스,"TMI를 공개하며 라이브의 재미를 더했다. 영탁은 자신이 덮는 이불, 어릴 적 가진 애착 인형, 잠버릇 등에 대한 재치 있는 설명으로 팬들에게 웃음을 안겼다. 또 영탁은...",2021.02.11,스타뉴스
"울주군자원봉사센터, LS니꼬동제련과 3000만원 상당 '다다키트' 나눔",2021.04.30 | 헤럴드경제 | 다음뉴스,"트는 아동들의 인지강화, 정서지원, 신체강화를 위해서 블록 2종, 퍼즐, 큐브, 애착인형, 반려식물 2종, 캐치볼, 장건강 유산균, 과자종합선물세트, 희망엽서 등 총 11종...",2021.04.30,헤럴드경제
"""혼자는 무섭다냥""..애착 인형 앞세워 집사 찾으러 다니는 냥이",2021.02.15 | 노트펫,[노트펫]집사가 보이지 않자 불안해진 고양이는 애착 인형을 입에 물고 집사를 애타게 찾아다니기 시작했다. 지난 14일(현지 시간) 인터넷 포털 야후재팬은 애착 인형을...,2021.02.15,노트펫
"'유퀴즈' 인형병원→CG 대가, '시간의 마술사' 특집",2021.04.07 | 티브이데일리 | 다음뉴스,유 퀴즈’ 촬영장에서 인생 첫 커피차를 선물 받은 아기자기의 모습도 예고다. 애착 인형과 함께 한 시간의 흔적을 복원해주는 김갑연 자기님은 국내 최초의 인형병원을...,2021.04.07,티브이데일리
'유퀴즈' 인형 병원장→'승리호' CG업체 대표 출격 [DA:클립],2021.04.07 | 스포츠동아 | 다음뉴스,더 블럭’ 촬영장에서 인생 첫 커피차를 선물 받은 아기자기의 모습도 예고된다. 애착 인형과 함께 한 시간의 흔적을 복원해주는 김갑연 자기님은 국내 최초의 인형병원을...,2021.04.07,스포츠동아
"[울산소식]LS니꼬, 저소득·결손가정 아동에 나눔행사 가져 등",2021.04.29 | 뉴시스 | 다음뉴스,"트는 아동들의 인지강화, 정서지원, 신체강화를 위해서 블록 2종, 퍼즐, 큐브, 애착인형, 반려식물 2종, 캐치볼, 장건강 유산균, 과자종합선물세트, 희망엽서 등 총 11종...",2021.04.29,뉴시스
"국민육아템 아기장난감 '라마즈 선물세트', 롯데마트 43개점 입점",2021.04.28 | 헤럴드경제 | 다음뉴스,"아기의 호기심을 자극하고 오감발달에 도움을 주는 영유아 장난감인만큼, 신생아 애착인형 또는 아기선물 구입을 고민하는 소비자분들에게 추천 드린다”면서 “라마즈 선물...",2021.04.28,헤럴드경제
"계명대, 애착인형 자체 개발…미혼모 시설에 기부",2021.02.14 | 대구신문,"계명대 학생들이 개발한 신생아용 애착인형 40개를 미혼모 시설에 기부해 어려운 시국에 훈훈함을 전했다. 계명대 이민석, 김지석, 전휘준, 이용우, 구병기 학생은 계명대...",2021.02.14,대구신문
"'유퀴즈' PD ""인형병원 원장→종양내과 의사, 시간 마술사들 만난...",2021.04.07 | 뉴스엔 | 다음뉴스,인생 첫 커피차를 선물 받은 아기자기의 모습도 예고돼 궁금증을 더한다. 애착 인형과 함께 한 시간의 흔적을 복원해주는 김갑연 자기님은 국내 최초의 인형병원을 운영하고...,2021.04.07,뉴스엔
어린이날 맞아 병원서 다양한 환아 돕기 행사 열려,2021.05.06 | 현대건강신문,"기념 이벤트를 열었다.소아청소년과 의료진은 이날 오후 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며 어린이날 병실에서 치료를 받아야 하는 어린이...",2021.05.06,현대건강신문
"인형병원 원장→방화동 마이클 잭슨, '유퀴즈' 뜬 시간의 마술사...",2021.04.07 | 엑스포츠뉴스 | 다음뉴스,인생 첫 커피차를 선물 받은 아기자기의 모습도 예고돼 궁금증을 더한다. 애착 인형과 함께 한 시간의 흔적을 복원해주는 김갑연 자기님은 국내 최초의 인형병원을 운영하고...,2021.04.07,엑스포츠뉴스
"순천향대학교 부속 천안병원, 소아청소년과병동에서 어린이날 기...",2021.05.04 | 뉴스타운,"기념 이벤트를 열었다. 소아청소년과 의료진은 이날 오후 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며 어린이날 병실에서 치료를 받아야 하는...",2021.05.04,뉴스타운
"코로나19 극복 비대면 봉사, 애착인형 만들기",2021.01.12 | KTV | 다음뉴스,"방식의 봉사활동이 진행되고 있습니다. 어려운 이웃에게 위로와 웃음을 전할 애착인형 만들기 활동인데요, 그 현장 지금 만나보시죠. (이유주 리포터) 네, 집에서 봉사활동...",2021.01.12,KTV
"'유퀴즈' 추억을 치료하는 인형병원 ""60대 신사도 父 추억 안고 ...",2021.04.07 | TV리포트 | 다음뉴스,20대 후반이다. 그 세대가 인형을 가장 많이 받았단 소리다. 내 경우 나이가 많아서 애착인형을 못 받아봤지만 20대 후반은 부모님이 맞벌이를 하면서 인형을 선물로 받았던...,2021.04.07,TV리포트
'11년 만에 작별' 이광수가 남긴 지울 수 없는 흔적,2021.04.28 | 오마이뉴스 | 다음뉴스,"주역으로 맹활약했다. 유재석의 표현을 빌리자면 ""(지)석진이 형과 더불어 나의 애착인형"" 같은 존재로서 마치 장난감마냥 다뤄지는 신세지만, 이런 콘셉트는 오히려 이광수...",2021.04.28,오마이뉴스
보고 즐기고 체험하고…어린이날 큰잔치,2021.05.03 | 대구신문,"함께 어린이날을 즐길 수 있는 다양한 프로그램들이 펼쳐진다.예술체험은 ‘애착인형 만들기’, ‘어버이날 카네이션 만들기’, ‘캘리그라피 손거울 만들기’, ‘환경...",2021.05.03,대구신문
"이화의료원 연구팀, 유방암 항 호르몬 치료 효과 높이는 마이크로...",2021.05.04 | 의약뉴스,"기념 이벤트를 열었다. 소아청소년과 의료진은 이날 오후 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며 어린이날 병실에서 치료를 받아야 하는...",2021.05.04,의약뉴스
"""올해도 집콕"" ""짧은 외출이라도"" 코로나시대 두 번째 어린이날의...",2021.05.04 | 영남일보,예약을 받아 체험프로그램을 진행한다. 어울아트센터에서 어린이날 오전 11시부터 애착인형만들기·캘리그라피 체험 등의 프로그램을 선보일 예정이다. 정해진 시간 동안...,2021.05.04,영남일보
'토끼? 강아지?' 애착 인형 물고 깡충깡충 뛰어오는 고양이,2021.03.24 | 노트펫,[노트펫]7개월 차 고양이 '미유'에게 집사 은영 씨의 재택근무 시간은 엄청난 인내심을 요하는 기다림의 시간이다. 물론 중간중간 시간이 날 때마다 집사가 신경을 써주기는...,2021.03.24,노트펫
"양주시, 한의약 접목한 비대면 건강프로그램‘우리아기 감성 톡톡...",2021.04.30 | 미디어이슈,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다.시는 수업에 필요한...",2021.04.30,미디어이슈
"양주시, 한의약 접목한 비대면 건강프로그램 운영",2021.04.30 | 경기북부포커스,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다.시는 수업에 필요한...",2021.04.30,경기북부포커스
"양주시, 한의약 접목한 비대면 건강프로그램‘우리아기 감성 톡톡...",2021.04.30 | 경기인터넷신문,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다.시는 수업에 필요한...",2021.04.30,경기인터넷신문
"양주시, 한의약 접목한 비대면 건강프로그램 ‘우리아기 감성 톡...",2021.04.30 | 경기북부시민신문,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다. 시는 수업에 필요한...",2021.04.30,경기북부시민신문
"양주시, 학의학 접목 육아교육프로그램 운영",2021.04.30 | 아시아타임즈,"마사지 이론과 실습을 병행해 진행하며 정서적 안정과 오감발달을 위한 애착인형 만들기, 애착형성 놀이방법 등 다양한 교양수업도 함께 운영한다. 시는 수업에 필요한...",2021.04.30,아시아타임즈
"현대엘리베이터, 가정의달 맞아 소외계층 어린이에게 선물",2021.05.02 | 충북일보,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.05.02,충북일보
'나 혼자 산다' 쌈디 '조카 바라기'의 우당탕탕 육아 일기,18시간전 | 한국경제 | 다음뉴스,쌈디는 인형 미모의 채채를 돌보며 눈에서 꿀이 뚝뚝 떨어지는 ‘조카 바보’의 면모를 뽐냈다. 조카를 위해 떨리는 손으로 직접 소고기를 굽고 하트 치즈 김밥을 만들며...,18시간전,한국경제
"계명대, 학생 개발 애착인형 40개 미혼모시설 기부",2021.02.01 | 영남일보,계명대 학생들이 개발한 신생아용 애착인형 40개를 미혼모 시설에 기부해 훈훈함을 전했다.계명대 이민석·김지석·전휘준·이용우·구병기씨는 계명대 LINC+사업단에서...,2021.02.01,영남일보
"현대엘리베이터, 소외계층 어린이 49명에 운동화 기부...""나눔 경...",2021.05.02 | 이코노뉴스,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.05.02,이코노뉴스
"여행 가방 싸는 주인 본 리트리버, 애착 인형 물고 캐리어 안에 쏙!",2021.02.05 | 노트펫,캐리어에 짐을 싸고 있는 모습을 본 강아지는 자기도 따라가겠다고 어필하기 위해 애착 인형을 입에 문 채 가방 안으로 들어갔다. 지난 3일(현지 시간) 대만 매체 이티...,2021.02.05,노트펫
"어린이날 맞이 축제..행복북구문화재단, ‘발코니 음악회’ 등 힐...",2021.05.02 | 대구일보,"어린이날을 즐길 수 있는 프로그램으로 펼쳐진다.예술체험은 무료로 진행된다.‘애착인형 만들기’, ‘어버이날 카네이션 만들기’, ‘캘리그라피 손거울 만들기’, ‘환경...",2021.05.02,대구일보
"계명대 학생들, 애착인형 미혼모 시설에 기부",2021.01.28 | 국제i저널,"[국제i저널=대구 석경희 기자] 계명대 학생들이 개발한 신생아용 애착인형 40개를 미혼모 시설에 기부해 어려운 시국에 훈훈함을 전했다.계명대 이민석, 김지석, 전휘준...",2021.01.28,국제i저널
"현대엘리베이터, 충주 진여원 어린이들에게 운동화 선물",2021.05.01 | 충남일보,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.05.01,충남일보
"현대엘리베이터, 가정의달 맞아 아동복지시설에 운동화 기부",2021.05.01 | 파이낸셜투데이,"현장 봉사활동이 어려워진 지난해부터는 취약계층 어린이를 위한 마스크 만들기, 애착인형 만들기, 리스 꽃장식 만들기 등 가정에서 할 수 있는 비대면 봉사활동을 실시해...",2021.05.01,파이낸셜투데이
