,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
112,,,순천시,개천면,,,,,,,,,,,,,
113,,,시흥시,개포1동,,,,,,,,,,,,,
114,,,신안군,개포2동,,,,,,,,,,,,,
115,,,아산시,개포4동,,,,,,,,,,,,,
116,,,안동시,개포면,,,,,,,,,,,,,
117,,,안산시단원구,거류면,,,,,,,,,,,,,
118,,,안산시상록구,거여1동,,,,,,,,,,,,,
119,,,안성시,거여2동,,,,,,,,,,,,,
120,,,안양시동안구,거제면,,,,,,,,,,,,,
121,,,안양시만안구,거제제1동,,,,,,,,,,,,,
122,,,양구군,거제제2동,,,,,,,,,,,,,
123,,,양산시,거제제3동,,,,,,,,,,,,,
124,,,양양군,거제제4동,,,,,,,,,,,,,
125,,,양주시,거진읍,,,,,,,,,,,,,
126,,,양천구,거창읍,,,,,,,,,,,,,
127,,,양평군,건국동,,,,,,,,,,,,,
128,,,여수시,건입동,,,,,,,,,,,,,
129,,,여주시,건천읍,,,,,,,,,,,,,
130,,,연수구,검단동,,,,,,,,,,,,,
131,,,연제구,검산동,,,,,,,,,,,,,
132,,,연천군,검암경서동,,,,,,,,,,,,,
133,,,영광군,결성면,,,,,,,,,,,,,
134,,,영덕군,겸면,,,,,,,,,,,,,
135,,,영도구,겸백면,,,,,,,,,,,,,
136,,,영동군,경안동,,,,,,,,,,,,,
137,,,영등포구,경암동,,,,,,,,,,,,,
138,,,영암군,경천면,,,,,,,,,,,,,
139,,,영양군,경포동,,,,,,,,,,,,,
140,,,영월군,경화동,,,,,,,,,,,,,
141,,,영주시,계곡면,,,,,,,,,,,,,
142,,,영천시,계남면,,,,,,,,,,,,,
143,,,예산군,계룡면,,,,,,,,,,,,,
144,,,예천군,계림1동,,,,,,,,,,,,,
145,,,오산시,계림2동,,,,,,,,,,,,,
146,,,옥천군,계림동,,,,,,,,,,,,,
147,,,옹진군,계북면,,,,,,,,,,,,,
148,,,완도군,계산1동,,,,,,,,,,,,,
149,,,완주군,계산2동,,,,,,,,,,,,,
150,,,용산구,계산3동,,,,,,,,,,,,,
151,,,용인시기흥구,계산4동,,,,,,,,,,,,,
152,,,용인시수지구,계성면,,,,,,,,,,,,,
153,,,용인시처인구,계양1동,,,,,,,,,,,,,
